"idStudy0","PMID","title","author","ABSTRACT","yearPublication","journal","journalShort","objective","studyPlan","fromCode","projectName","uploadDate"
,"32470149","Ferric citrate in the management of hyperphosphataemia and iron deficiency anaemia: A meta-analysis in patients with chronic kidney disease.","Choi YJ","AIMS: Phosphate-lowering effects of ferric citrate were reported in several clinical trials, but mostly in small-scale studies. The aim of this meta-analysis was to investigate the efficacy and safety of ferric citrate in controlling hyperphosphataemia and iron-deficiency anaemia in chronic kidney disease (CKD) patients.
METHODS: PubMed, Embase and Cochrane Library were searched for clinical trials that enrolled CKD patients receiving ferric citrate for hyperphosphataemia. Two investigators performed systematic literature search to identify eligible studies, evaluated risk of bias and extracted relevant data.
RESULTS: Sixteen studies were included in the meta-analysis. Phosphate-lowering effects of ferric citrate were greater compared to no active treatment (standardized mean difference [SMD] = -1.15; P < 0.001) and comparable to other phosphate binders (SMD = 0.03; P = 0.61). Calcium concentrations post ferric citrate treatment did not differ compared to no active treatment (SMD = 0.15; P = 0.21) but were significantly lower compared to other phosphate binders (SMD = -0.14; P = 0.01). These led to significant reductions in calcium-phosphorus product with ferric citrate versus no active control (SMD = -1.02; P < 0.001) but no difference versus active control (SMD = -0.01; P = 0.93). Intact parathyroid hormone showed no substantial between-group difference in both comparison against no active and active controls. Ferric citrate improved iron stores and anaemia parameters, but increased risk of diarrhoea, abdominal pain and discoloured faeces.
CONCLUSION: Ferric citrate was effective in lowering phosphorus and phosphorus-calcium product versus no active treatment and had comparable effects versus other phosphate binders. Calcium levels were significantly lower with ferric citrate than with other phosphate-lowering treatment. Ferric citrate had additive effects on iron repletion and anaemia control and was associated with mostly gastrointestinal side effects.","2021",,"Br J Clin Pharmacol"," AIMS : Phosphate-lowering effects of ferric citrate were reported in several clinical trials , but mostly in small-scale studies ","meta analysis",1,"ckdIronPub","2023-12-21"
,"32452919","Simultaneous management of disordered phosphate and iron homeostasis to correct fibroblast growth factor 23 and associated outcomes in chronic kidney disease.","Courbon G","PURPOSE OF REVIEW: Hyperphosphatemia, iron deficiency, and anemia are powerful stimuli of fibroblast growth factor 23 (FGF23) production and are highly prevalent complications of chronic kidney disease (CKD). In this manuscript, we put in perspective the newest insights on FGF23 regulation by iron and phosphate and their effects on CKD progression and associated outcomes. We especially focus on new studies aiming to reduce FGF23 levels, and we present new data that suggest major benefits of combined corrections of iron, phosphate, and FGF23 in CKD.
RECENT FINDINGS: New studies show that simultaneously correcting iron deficiency and hyperphosphatemia in CKD reduces the magnitude of FGF23 increase. Promising therapies using iron-based phosphate binders in CKD might mitigate cardiac and renal injury and improve survival.
SUMMARY: New strategies to lower FGF23 have emerged, and we discuss their benefits and risks in the context of CKD. Novel clinical and preclinical studies highlight the effects of phosphate restriction and iron repletion on FGF23 regulation.","2020",,"Curr Opin Nephrol Hypertens"," PURPOSE OF REVIEW : Hyperphosphatemia , iron deficiency , and anemia are powerful stimuli of fibroblast growth factor 23 ( FGF23 ) production and are highly prevalent complications of chronic kidney disease ( CKD ) "," review",1,"ckdIronPub","2023-12-21"
,"32390704","Iron metabolism imbalance at the time of listing increases overall and infectious mortality after liver transplantation.","Fallet E","BACKGROUND: Liver transplantation (LT) is the best treatment for patients with liver cancer or end stage cirrhosis, but it is still associated with a significant mortality. Therefore identifying factors associated with mortality could help improve patient management. The impact of iron metabolism, which could be a relevant therapeutic target, yield discrepant results in this setting. Previous studies suggest that increased serum ferritin is associated with higher mortality. Surprisingly iron deficiency which is a well described risk factor in critically ill patients has not been considered.
AIM: To assess the impact of pre-transplant iron metabolism parameters on post-transplant survival.
METHODS: From 2001 to 2011, 553 patients who underwent LT with iron metabolism parameters available at LT evaluation were included. Data were prospectively recorded at the time of evaluation and at the time of LT regarding donor and recipient. Serum ferritin (SF) and transferrin saturation (TS) were studied as continuous and categorical variable. Cox regression analysis was used to determine mortality risks factors. Follow-up data were obtained from the local and national database regarding causes of death.
RESULTS: At the end of a 95-mo median follow-up, 196 patients were dead, 38 of them because of infections. In multivariate analysis, overall mortality was significantly associated with TS > 75% [HR: 1.73 (1.14; 2.63)], SF < 100 µg/L [HR: 1.62 (1.12; 2.35)], hepatocellular carcinoma [HR: 1.58 (1.15; 2.26)], estimated glomerular filtration rate (CKD EPI Cystatin C) [HR: 0.99 (0.98; 0.99)], and packed red blood cell transfusion [HR: 1.05 (1.03; 1.08)]. Kaplan Meier curves show that patients with low SF (< 100 µg/L) or high SF (> 400 µg/L) have lower survival rates at 36 mo than patients with normal SF (
CONCLUSION: Our results show that iron metabolism imbalance (either deficiency or overload) is associated with post-transplant overall and infectious mortality. Impact of iron supplementation or depletion should be assessed in prospective study.","2020",,"World J Gastroenterol"," AIM : To assess the impact of pre-transplant iron metabolism parameters on post-transplant survival ","other",1,"ckdIronPub","2023-12-21"
,"32365757","The Impact of Iron Supplementation for Treating Anemia in Patients with Chronic Kidney Disease: Results from Pairwise and Network Meta-Analyses of Randomized Controlled Trials.","Adler M","After relative erythropoietin deficiency, iron deficiency is the second most important contributing factor for anemia in chronic kidney disease (CKD) patients. Iron supplementation is a crucial part of the treatment of anemia in CKD patients, and intravenous (IV) iron supplementation is considered to be superior to per os (PO) iron supplementation. The differences between the available formulations are poorly characterized. This report presents results from pairwise and network meta-analyses carried out after a comprehensive search in sources of published and unpublished studies, according to the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) recommendations (International prospective register of systematic reviews PROSPERO reference ID: CRD42020148155). Meta-analytic calculations were performed for the outcome of non-response to iron supplementation (i.e., hemoglobin (Hgb) increase of <0.5-1.0 g/dL, or initiation/intensification of erythropoiesis-stimulating agent (ESA) therapy, or increase/change of iron supplement, or requirements of blood transfusion). A total of 34 randomized controlled trials (RCT) were identified, providing numerical data for analyses covering 93.7% (n = 10.097) of the total study population. At the network level, iron supplementation seems to have a more protective effect against the outcome of non-response before the start of dialysis than once dialysis is initiated, and some preparations seem to be more potent (e.g., ferumoxytol, ferric carboxymaltose), compared to the rest of iron supplements assessed (surface under the cumulative ranking area (SUCRA) > 0.8). This study provides parameters for adequately following-up patients requiring iron supplementation, by presenting the most performing preparations, and, indirectly, by making it possible to identify good responders among all patients treated with these medicines.","2020",,"Pharmaceuticals (Basel)",,"other",1,"ckdIronPub","2023-12-21"
,"32348985","Protocol and Baseline Data of a Multicentre Prospective Double-Blinded Randomized Study of Intravenous Iron on Functional Status in Patients with Chronic Kidney Disease.","Bhandari S","BACKGROUND: Iron deficiency (ID) is common in patients with chronic kidney disease (CKD) due to an inadequate dietary intake of iron, poor absorption from the gut and increased iron losses. In addition to preventing anaemia, iron is important for normal heart function, being involved in processes that generate a necessary continuous energy supply. Treatment with intravenous (IV) iron has been suggested to lead to improvement in heart function and well-being in people with ID and CKD. In the Iron and the Heart Study, we hypothesized that IV iron treatment will primarily improve exercise capacity and may secondarily impact the feeling of well-being in comparison to placebo over 3 months in non-anaemic CKD patients who have ID.
METHODS: This was a prospective double-blinded explorative randomized, multi-centre study designed to compare the effects of IV iron supplementation and placebo in iron-deficient but not anaemic patients with established CKD stages 3b-5 on functional status, and in addition cardiac structure and function. The study included 54 adults with serum ferritin (SF) <100 µg/L and/or transferrin saturation <20%, randomized in a 1:1 ratio to 1,000 mg IV ferric derisomaltose or placebo. Following randomization, participants underwent baseline assessments and then received IV iron or placebo infusion. Each participant was followed up at months 1 and 3. At each visit, patients underwent clinical review, measurements of hematinics and haemoglobin (Hb), and assessments of physical function and well-being. The primary outcome was exercise capacity using the 6-minute walk test. Secondary objectives included effects on hematinic profiles and Hb concentration, changes in myocardial parameters assessed with speckle tracking echocardiography and change in patients' quality of life.
RESULTS: Between October 2016 and April 2018, 55 from 326 individuals from 3 UK centres attended screening and were randomized. The mean (SD) age was 59.6 (11.7) years, 26 (48%) patients were male, the majority were Caucasians (42; 78%), and 32 (59%) were non-smokers. The mean (SD) body mass index was 30.3 (6.5); SF was 66.3 (44.1) µg/L, TS was 20.1 (7.4) % and Hb was 128.7 (10.1) g/L at randomization for the whole group. Mean (SD) serum creatinine was 186.7 (58.6) µmol/L, estimated glomerular filtration rate was 31.1 (9.6) mL/min/1.73 m2 and urinary albumin and protein/creatinine ratios 60.9 (133.3) and 83.8 (128.4) mg/mmol respectively. The mean (SD) C-reactive protein was 5.0 (4.4) mg/L and the mean (SD) 6-minute walk distance at baseline was 401.2 (120.2) m.
CONCLUSION: The Iron and the Heart Trial will provide important information on the short-term effects of IV iron treatment in CKD patients with ID without anaemia on measures of exercise capacity, quality of life and mechanistic data on myocardial structure and function.
TRIAL REGISTRATION: European Clinical Trials Database (No. 2014-004133-6; REC no. 14/YH/1209; Sponsor ref. R1766).","2020",,"Am J Nephrol"," Secondary objectives included effects on hematinic profiles and Hb concentration , changes in myocardial parameters assessed with speckle tracking echocardiography and change in patients ' quality of life ","randomized controlled trial",1,"ckdIronPub","2023-12-21"
,"35389571","Acute Effects of Iron Sucrose and Iron Carboxymaltose on Endothelial Function in Nondialysis Chronic Kidney Disease Patients.","Mehedinti AM","BACKGROUND: Intravenous iron is commonly prescribed in chronic kidney disease (CKD) patients. Iron sucrose (IS) and ferric carboxymaltose (FCM) are 2 frequently used formulations. Experimental data showed that this 2 intravenous iron preparations have different potential to induce oxidative stress and by that endothelial dysfunction. Still, direct comparisons in clinical settings are rather scarce.
STUDY QUESTION: Are there any acute changes in endothelial function after single intravenous iron infusions of IS and FCM in nondialysis CKD patients?
STUDY DESIGN: This was a prospective, crossover study in which 31 patients with CKD stages 3-5 (80% stages 3 and 4, 81% female, 55% older than 60 years, 23% diabetes mellitus, and 94% arterial hypertension) who required intravenous iron as part of their routine medical care were enrolled.
MEASURES AND OUTCOMES: The effect of flow-mediated vasodilatation infusions containing 250-mL 10% glucose, 500-mg FCM, and 200-mg IS, both in 250-mL 0.9% saline solution, was compared. The infusions were administered over 30 minutes, 72 hours apart, in the mentioned order. Ultrasound measurement of the brachial artery flow-mediated vasodilation (FMD) performed 15 minutes before and after each infusion was used to assess endothelial function. The outcome was the post/preinfusion difference (Δ) in FMD.
RESULTS: The baseline FMD was similar before each study intervention. The arterial reactivity significantly decreased only after IS infusion [ΔFMD -2.3 (-5.65 to -0.33) vs. 1.0 (-1.49 to 1.80) after glucose, P = 0.01], but not after FCM [ΔFMD -0.8 (-2.50 to 0.65), P = 0.27 vs. glucose]. Moreover, the arterial reactivity was higher after IS as compared to FCM.
CONCLUSIONS: Endothelial dysfunction seems to be acutely induced by a single dose of intravenous IS, but not by FCM, in nondialysis CKD patients.","2020",,"Am J Ther",,"other",1,"ckdIronPub","2023-12-21"
,"32301986","The problem with transferrin saturation as an indicator of iron 'sufficiency' in chronic kidney disease.","Besarab A","After a brief review of physiological iron metabolism, we describe diagnostic tests for iron status and iron deficiency anemia in patients without chronic kidney disease (CKD) or inflammation. Thereafter we review the dysregulation of iron metabolism in CKD. Specific emphasis is placed on the role of the 'inflammatory' state that develops with the progression of CKD. It invokes changes in iron metabolism that are the exact opposite of those occurring during pure iron deficiency. As a result, transferrin saturation (TSAT) becomes a poorer index of iron availability to the bone marrow and serum ferritin no longer represents iron that can be used during erythropoiesis. We argue that serum iron may provide more information to guide iron therapy than TSAT. In other words, the emphasis on TSAT is misplaced. With the development of a number of hypoxia-inducible factor prolyl hydroxylase inhibitors, which restore iron metabolism toward the 'physiologic state', the iron indices indicating sufficient iron availability to avoid functional iron deficiency during therapy of CKD-associated anemia are likely to change. We summarize these changes in the section 'A peek into things to come!', citing the available data.","2021",,"Nephrol Dial Transplant"," Thereafter we review the dysregulation of iron metabolism in CKD "," review",1,"ckdIronPub","2023-12-21"
,"32229441","Serum total iron-binding capacity and iron status in patients with non-dialysis-dependent chronic kidney disease: A cross-sectional study in Vietnam.","Thang LV","BACKGROUND AND OBJECTIVES: We performed this study to evaluate serum iron and ferritin concentrations, serum total iron-binding capacity (TIBC), and proportion of overall iron deficiency among patients with non-dialysisdependent chronic kidney disease (ND-CKD).
METHODS AND STUDY DESIGN: A hospital-based cross-sectional observational study was conducted on 175 adult patients with stage 3-5 chronic kidney disease (CKD) by using 51 healthy age-sex-matched Vietnamese adults as the control group. We next examined the prevalence of anemia and determined the serum iron and ferritin concentrations and TIBC. Anemia in CKD was defined as hemoglobin levels <13 g/dL in men and <12 g/dL in women. Transferrin saturation (TSAT, %) was calculated as (serum iron x 100)/TIBC. Functional iron deficiency was defined as serum ferritin >100 ng/mL and TSAT <20%, and absolute iron deficiency was defined as serum ferritin <100 ng/mL and TSAT <20%. Overall iron deficiency was defined as the presence of either absolute or functional iron deficiency.
RESULTS: Anemia prevalence in our study was approximately 88.6% with a mean hemoglobin concentration of 9.71±2.26 g/dL. The median serum TIBC was lower in the CKD group (50.4 μmol/L) than in the control group (66.0 μmol/L; p<0.001). The proportion of overall iron deficiency was 44.0%. TIBC had a diagnostic value for overall iron deficiency (area under the ROC curve=0.81; p<0.001).
CONCLUSIONS: Anemia and iron deficiency are common in Vietnamese patients with NDCKD. TIBC had diagnostic value for overall iron deficiency.","2020",,"Asia Pac J Clin Nutr","BACKGROUND AND OBJECTIVES : We performed this study to evaluate serum iron and ferritin concentrations , serum total iron-binding capacity ( TIBC ) , and proportion of overall iron deficiency among patients with non-dialysisdependent chronic kidney disease ( ND-CKD ) ","observational study",1,"ckdIronPub","2023-12-21"
,"32215351","Iron and Heart Failure: Diagnosis, Therapies, and Future Directions.","Ghafourian K","To date, 3 clinical trials have shown symptomatic benefit from the use of intravenous (IV) iron in patients with heart failure (HF) with low serum iron. This has led to recommendations in support of the use of IV iron in this population. However, the systemic and cellular mechanisms of iron homeostasis in cardiomyocyte health and disease are distinct, complex, and poorly understood. Iron metabolism in HF appears dysregulated, but it is still unclear whether the changes are maladaptive and pathologic or compensatory and protective for the cardiomyocytes. The serum markers of iron deficiency in HF do not accurately reflect cellular and mitochondrial iron levels, and the current definition based on the ferritin and transferrin saturation values is broad and inclusive of patients who do not need IV iron. This is particularly relevant in view of the potential risks that are associated with the use of IV iron. Reliable markers of cellular iron status may differentiate subgroups of HF patients who would benefit from cellular and mitochondrial iron chelation rather than IV iron.","2020",,"JACC Basic Transl Sci",," review",1,"ckdIronPub","2023-12-21"
,"32183861","Correction to: Protocol and baseline data for a prospective open-label explorative randomized singlecenter comparative study to determine the effects of various intravenous iron preparations on markers of oxidative stress and kidney injury in chronic kidney disease (IRON-CKD).","Ziedan A","After publication of our article [1], the database of IRON-CKD has undergone vigorous inspection - the authors have therefore re-examined database.","2020",,"Trials",,"other",1,"ckdIronPub","2023-12-21"
,"32093129","Reply to Comments: Comparison of Methods Study between a Photonic Crystal Biosensor and Certified ELISA to Measure Biomarkers of Iron Deficiency in Chronic Kidney Disease Patients.","Peterson RD","In this brief note, we respond to the comments made by Dr [...].","2020",,"Sensors (Basel)",,"comparative study",1,"ckdIronPub","2023-12-21"
,"32092986","Comments on: ""Comparison of Methods Study between a Photonic Crystal Biosensor and Certified ELISA to Measure Biomarkers of Iron Deficiency in Chronic Kidney Disease Patients"".","Abbas N","We recently read, with great interest, the article entitled ""Comparison of Methods Study between a Photonic Crystal Biosensor and Certified ELISA to Measure Biomarkers of Iron Deficiency in Chronic Kidney Disease Patients"" [...].","2020",,"Sensors (Basel)",,"comparative study",1,"ckdIronPub","2023-12-21"
,"32087684","Oral Sucrosomial® iron versus intravenous iron for recovering iron deficiency anaemia in ND-CKD patients: a cost- minimization analysis.","Riccio E","BACKGROUND: Oral iron is recommended as first line treatment of anemia in non-dialysis chronic kidney disease (ND-CKD) patients. Sucrosomial® iron, a new generation oral iron with high absorption and bioavailability and a low incidence of side effects, has shown to be not inferior to intravenous (IV) iron in the replacement of iron deficiency anemia in patients with ND-CKD. Besides the clinical benefit, it is also important to determine the comparative total costs of oral versus IV iron administrations. The aim of this study was to perform a cost-minimization analysis of oral Sucrosomial iron, compared with IV iron gluconate from an Italian societal perspective.
METHODS: Cost analysis was performed on the 99 patients with ND-CKD and iron-deficiency anemia of the randomized trial by Pisani et al. Human and material resources utilization was recorded during each iron administration. According to study perspective, direct and indirect costs were considered. Costs for each resource unit were taken from official Italian sources. Probabilistic sensitivity analyses were carried out to test the robustness of the results.
RESULTS: The base case analysis showed an average cost/cycle per patient of € 111 for oral iron and € 1302 for IV iron. Thus, the potential saving was equal to € 1191 per patient/cycle. The sensitivity analysis showed that the most sensitive driver is the time loss by patient and caregivers for the therapy and related-care, followed by the minutes of nursing care and the number of kilometres travelled to reach the referral centre.
DISCUSSION: This study showed that oral Sucrosomial® iron could offer specific advantages in terms of potential savings, and allowed identifying some implications for future research. Such advantages still persist with the new single dose IV iron formulation available in the market, although to a lesser extent.","2020",,"BMC Nephrol"," The aim of this study was to perform a cost-minimization analysis of oral Sucrosomial iron , compared with IV iron gluconate from an Italian societal perspective ","comparative study",1,"ckdIronPub","2023-12-21"
,"32049331","Safety and efficacy of iron isomaltoside 1000/ferric derisomaltose versus iron sucrose in patients with chronic kidney disease: the FERWON-NEPHRO randomized, open-label, comparative trial.","Bhandari S","BACKGROUND: The optimal intravenous (IV) iron would allow safe correction of iron deficiency at a single infusion over a short time. The FERWON-NEPHRO trial evaluated the safety and efficacy of iron isomaltoside 1000/ferric derisomaltose (IIM) in patients with non-dialysis-dependent chronic kidney disease and iron deficiency anaemia.
METHODS: In this randomized, open-label and multi-centre trial conducted in the USA, patients were randomized 2:1 to a single dose of 1000 mg IIM or iron sucrose (IS) administered as 200 mg IV injections up to five times within a 2-week period. The co-primary endpoints were serious or severe hypersensitivity reactions and change in haemoglobin (Hb) from baseline to Week 8. Secondary endpoints included incidence of composite cardiovascular adverse events (AEs).
RESULTS: A total of 1538 patients were enrolled (mean estimated glomerular filtration rate 35.5 mL/min/1.73 m2). The co-primary safety objective was met based on no significant difference in the incidence of serious or severe hypersensitivity reactions in the IIM and IS groups [0.3% versus 0%; risk difference: 0.29% (95% confidence interval: -0.19; 0.77; P > 0.05)]. Incidence of composite cardiovascular AEs was significantly lower in the IIM versus IS group (4.1% versus 6.9%; P = 0.025). Compared with IS, IIM led to a more pronounced increase in Hb during the first 4 weeks (P ≤ 0.021), and change in Hb to Week 8 showed non-inferiority, confirming that the co-primary efficacy objective was met.
CONCLUSIONS: Compared with multiple doses of IS, a single dose of IIM induced a non-inferior 8-week haematological response, comparably low rates of hypersensitivity reactions, and a significantly lower incidence of composite cardiovascular AEs.","2021",,"Nephrol Dial Transplant"," The co-primary safety objective was met based on no significant difference in the incidence of serious or severe hypersensitivity reactions in the IIM and IS groups [ 0","randomized controlled trial",1,"ckdIronPub","2023-12-21"
,"32041774","Iron Deficiency in Chronic Kidney Disease: Updates on Pathophysiology, Diagnosis, and Treatment.","Batchelor EK","Anemia is a complication that affects a majority of individuals with advanced CKD. Although relative deficiency of erythropoietin production is the major driver of anemia in CKD, iron deficiency stands out among the mechanisms contributing to the impaired erythropoiesis in the setting of reduced kidney function. Iron deficiency plays a significant role in anemia in CKD. This may be due to a true paucity of iron stores (absolute iron deficiency) or a relative (functional) deficiency which prevents the use of available iron stores. Several risk factors contribute to absolute and functional iron deficiency in CKD, including blood losses, impaired iron absorption, and chronic inflammation. The traditional biomarkers used for the diagnosis of iron-deficiency anemia (IDA) in patients with CKD have limitations, leading to persistent challenges in the detection and monitoring of IDA in these patients. Here, we review the pathophysiology and available diagnostic tests for IDA in CKD, we discuss the literature that has informed the current practice guidelines for the treatment of IDA in CKD, and we summarize the available oral and intravenous (IV) iron formulations for the treatment of IDA in CKD. Two important issues are addressed, including the potential risks of a more liberal approach to iron supplementation as well as the potential risks and benefits of IV versus oral iron supplementation in patients with CKD.","2020",,"J Am Soc Nephrol"," Here , we review the pathophysiology and available diagnostic tests for IDA in CKD , we discuss the literature that has informed the current practice guidelines for the treatment of IDA in CKD , and we summarize the available oral and intravenous ( IV ) iron formulations for the treatment of IDA in CKD"," review",1,"ckdIronPub","2023-12-21"
,"31998726","Association Between Iron Status and Risk of Chronic Kidney Disease in Chinese Adults.","Zhu Y","NULL","2019",,"Front Med (Lausanne)",,"other",1,"ckdIronPub","2023-12-21"
,"31996496","Conventional and novel impacts of ferric citrate on iron deficiency anemia and phosphorus metabolism in rats.","Iida A","Ferric citrate is an oral iron-based phosphate binder, being known to affect iron status and improve iron deficiency anemia (IDA) in chronic kidney disease (CKD) patients. We examined whether oral administration of ferric citrate could change iron status and improve anemia without affecting phosphorus metabolism in iron deficiency anemia rats. In Normal rat study, normal rats were fed a diet containing 0.3 or 3% ferric citrate for 11 days for setting the dose and administration period of ferric citrate. The effects of ferric citrate on iron status- and phosphorus metabolism-related parameters were evaluated using blood and urine samples. Next, an iron deficiency anemia was induced by feeding iron-depleted diet in rats. After 7 days of starting the iron-depleted diet, 0.3% ferric citrate was administered for 7 days by dietary admixture. Iron status- and phosphorus metabolism-related parameters were evaluated with blood and urine samples. In Normal rat study, 3% ferric citrate treatment increased serum iron level and transferrin saturation (TSAT), and decreased serum phosphorus level, intact fibroblast growth factor 23 (iFGF23) level, and urinary phosphorus excretion, but 0.3% ferric citrate treatment showed no effects. On the other hand, in Iron deficiency anemia rat study, 0.3% ferric citrate treatment increased iron status-related parameters and improved anemia, but did not show any apparent changes in phosphorus metabolism-related parameters. In conclusion, ferric citrate could have hematopoietic effects without affecting phosphorus metabolism, and could be a potential option for the treatment of IDA in patients without CKD.","2020",,"J Vet Med Sci",,"other",1,"ckdIronPub","2023-12-21"
,"31994917","Association between neutrophil gelatinase-associated lipocalin (NGAL) and iron profile in chronic renal disease.","Aghsaeifard Z","NGAL, also known as lipocalin 2, is a stress protein located on the cell surface that is known for its involvement in iron transport. This study is aimed to evaluate the correlation between the iron profile and NGAL concentration in serum among chronic kidney disease patients under dialysis in order to find its diagnostic value with regards to iron deficiency anaemia (IDA). 47 patients under chronic haemodialysis in end-stage renal disease (ESRD) and 15 healthy controls were evaluated to determine the correlation between serum NGAL concentration and IDA characteristics. Our results recorded a significant correlation between IDA (TSAT < 20%) and NGAL serum concentration with a Spearman's coefficient of 0.314. Serum NGAL was also significantly related to serum ferritin, TIBC, uric acid, creatinine and blood sugar whereas, an inverse relationship with albumin, total cholesterol and LDL. Our study reports a positive correlation between IDA and serum NGAL levels in CKD patients.","2022",,"Arch Physiol Biochem"," This study is aimed to evaluate the correlation between the iron profile and NGAL concentration in serum among chronic kidney disease patients under dialysis in order to find its diagnostic value with regards to iron deficiency anaemia ( IDA ) ","other",1,"ckdIronPub","2023-12-21"
,"31978539","The pathogenesis of CKD complications; Attack of dysregulated iron and phosphate metabolism.","Nakanishi T","Chronic kidney disease (CKD) patients have a tremendously higher risk of developing cardiovascular disease (CVD) and infection than the non-CKD population, which could be caused by intertwining actions of hyperphosphatemia and CKD associated misdistribution of iron. CVD is often associated with vascular calcification, which has been attributed to hyperphosphatemia, and could be initiated in mitochondria, inducing apoptosis, and accelerated by reactive oxygen species (ROS). The production of ROS is principally linked to intracellular ferrous iron. For infection, the virulence and pathogenicity of a pathogen is directly related to its capacity to acquire iron for proliferation and to escape or subvert the host's immune response. Iron administration for renal anemia can sometimes be overdosed, which could decrease host immune mechanisms through its direct effect on neutrophils, macrophages and T cell function. Hyperphosphatemia has been demonstrated to be associated with an increased incidence of infection. We hypothesized two possible mechanisms: 1) fibroblast growth factor-23 levels are increased in parallel with serum phosphate levels and directly impair leukocyte recruitment and host defense mechanisms, and 2) circulating non-transferrin-bound iron (NTBI) is increased due to decreased iron binding capacity of the carrier protein transferrin in high-phosphate conditions. From these observations, maintaining an adequate serum range of phosphate levels and minimizing intracellular iron accumulation could attenuate the development of CKD complications.","2020",,"Free Radic Biol Med",," review",1,"ckdIronPub","2023-12-21"
,"31919558","Effects of oral iron and calcium supplement on the pharmacokinetics and pharmacodynamics of molidustat: an oral HIF-PH inhibitor for the treatment of renal anaemia.","Lentini S","PURPOSE: The present studies assessed the drug-drug interaction of molidustat, a hypoxia-inducible factor prolyl hydroxylase inhibitor, with iron and calcium supplements, which are common medications in patients with anaemia due to chronic kidney disease (CKD).
METHODS: Forty-two healthy men received molidustat alone (fasted or fed) or combined with oral iron(II) or calcium(II), given immediately before or between 4 h before and 1 h after molidustat in three randomized, open-label, crossover studies (12-15 participants per study). Molidustat AUC and C
RESULTS: Depending on prandial state, concomitant intake of iron(II) reduced molidustat AUC and C
CONCLUSIONS: In contrast to concomitant oral intake of calcium, the effect of oral iron supplements on molidustat pharmacokinetics and pharmacodynamics should be considered, and the two agents should be administered with an appropriate time separation.","2020",,"Eur J Clin Pharmacol"," PURPOSE : The present studies assessed the drug-drug interaction of molidustat , a hypoxia-inducible factor prolyl hydroxylase inhibitor , with iron and calcium supplements , which are common medications in patients with anaemia due to chronic kidney disease ( CKD ) ","randomized controlled trial",1,"ckdIronPub","2023-12-21"
,"31892487","Liposomal iron in moderate chronic kidney disease.","Montagud-Marrahi E","INTRODUCTION AND OBJECTIVE: The optimal iron supplementation route of administration (intravenous vs oral) in patients with chronic kidney disease (CKD) not on dialysis is a hot topic of debate. An oral preparation (liposomal iron, FeSu) has recently been developed with high bioavailability and low incidence of side effects. The objective was to evaluate the efficacy of FeSu in patients with stage 3 CKD and gastrointestinal intolerance to conventional oral iron therapy.
MATERIAL AND METHODS: Prospective observational study of patients with stable stage 3 CKD and gastrointestinal intolerance to conventional oral iron therapy. An oral 30mg/day dose of FeSu was administered for 12 months. The primary outcome measure was haemoglobin increase at 6 and 12 months. Treatment adherence and adverse effects were also evaluated.
RESULTS: 37 patients aged 72.6±14.7 years and with an estimated glomerular filtration rate (eGFR) of 42±10ml/min/1.73m
CONCLUSIONS: FeSu is effective in a cohort of patients with stage 3 CKD with similar characteristics to the general population of moderate CKD patients, with a low rate of adverse reactions and excellent tolerability.","2020",,"Nefrologia (Engl Ed)","INTRODUCTION AND OBJECTIVE : The optimal iron supplementation route of administration ( intravenous vs oral ) in patients with chronic kidney disease ( CKD ) not on dialysis is a hot topic of debate ","observational study",1,"ckdIronPub","2023-12-21"
,"31819387","Recovery Of Bone And Muscle Mass In Patients With Chronic Kidney Disease And Iron Overload On Hemodialysis And Taking Combined Supplementation With Curcumin And Resveratrol.","Murillo Ortiz BO","INTRODUCTION: Malnutrition is common in haemodialysis patients and closely related to morbidity and mortality. We evaluated the effect of twelve weeks of supplementation with resveratrol and curcumin on recovery of bone and muscle mass and protein oxidation, lipid peroxidation on patients with chronic kidney disease and iron overload undergoing hemodialysis, we performed a randomized, double-blind, placebo-controlled trial.
METHODS: We included a total of 40 patients, were randomly assigned to two groups, 20 to the group with antioxidant supplementation (Resveratrol + Curcumin) (Group A), treated with a daily oral dose of 500 mg of Resveratrol and 500 mg of Curcumin, and 20 to the control group treated with placebo (Group B).
RESULTS: Significant differences were found in the body composition of the patients between both groups. There was a significant difference in Body Mass Index (BMI) values (p = 0.002), fat percentage (p = 0.007), muscle mass (p = 0.01) bone mass (p = 0.01), as well as in the score of the subjective global evaluation (p = 0.03). Also differences were found between the basal and final serum levels of Triglycerides (TG) (p = 0.01), VLDL (p = 0.003). A significant decrease in the levels of serum ferritin (2003.69 ± 518.73 vs 1795.65 ± 519.00 ng/mL; p = 0.04). Nor were significant differences observed between the baseline and the final Thiobarbituric Acid Reactive Substances (TBARS) values (70.45 ± 69.21 vs 50.19 ± 32.62, p = 0.24). The same results was obtained for carbonyl values (2.67 ± 0.75 vs 2.50 ± 0.85; p = 0.50).
DISCUSSION: The present study is the first assay on patients with chronic kidney disease and iron overload that demonstrates the beneficial effects of combined supplementation with Curcumin and Resveratrol on muscle and bone mass. There was a significant decrease in circulating levels of ferritin, to finding that remarkably novel.","2019",,"Clin Interv Aging",,"randomized controlled trial",1,"ckdIronPub","2023-12-21"
