"idResults0","doc_id","PMID","exp1","expType","expLow1","expHigh1","expUnit1","refExp1","outcome","result","icLow","icUpper","measureType","exp2","adjustment"
NA,"35029519_1","35029519","",NA,NA,NA,NA,NA,"all grade peripheral neuropathy",0.5,0.35,0.7,"relative risk (RR)",NA,NA
NA,"35029519_2","35029519","neurotoxicity",NA,NA,NA,NA,NA,"all grade peripheral sensory neuropathy",0.49,0.3,0.79,"relative risk (RR)",NA,NA
NA,"35029519_3","35029519","",NA,NA,NA,NA,NA,"all grade peripheral neuropathy",0.05,0.03,0.1,"relative risk (RR)",NA,NA
NA,"35029519_4","35029519","RR, 0.11",NA,NA,NA,NA,NA,"all grade peripheral sensory neuropathy",0.11,0.05,0.23,"relative risk (RR)",NA,NA
NA,"35064837_2","35064837","age",NA,NA,NA,NA,NA,"headache",1.3,1.21,1.39,"odd ratio (OR)",NA,NA
NA,"35064837_3","35064837","EMF exposure duration",NA,NA,NA,NA,NA,"",1.41,1.22,1.61,"odd ratio (OR)",NA,NA
NA,"35221992_1","35221992","",NA,NA,NA,NA,NA,"all cause dementia",1.35,1.21,1.5,"odd ratio (OR)",NA,NA
NA,"35221992_2","35221992","headache",NA,NA,NA,NA,NA,"alzheimers disease",1.49,1.08,2.05,"odd ratio (OR)",NA,NA
NA,"35221992_3","35221992","The history of any headache",NA,NA,NA,NA,NA,"VaD",1.72,1.32,2.25,"odd ratio (OR)",NA,NA
NA,"35221992_4","35221992","females with a history of headache have a slightly higher risk of dementia",NA,NA,NA,NA,NA,"dementia",1.32,1.16,1.51,"odd ratio (OR)",NA,NA
NA,"35221992_5","35221992","headache",NA,NA,NA,NA,NA,"dementia",1.38,1.22,1.56,"odd ratio (OR)",NA,NA
NA,"35268502_1","35268502","the pain free rate",NA,NA,NA,NA,NA,"pain free rate",3.89,2.76,5.48,"odd ratio (OR)",NA,NA
NA,"35268502_2","35268502","",NA,NA,NA,NA,NA,"pain free",0.4,0.19,0.82,"odd ratio (OR)",NA,NA
NA,"35343597_1","35343597","high flow oxygen",NA,NA,NA,NA,NA,"",9,5.3,15.9,"odd ratio (OR)",NA,NA
NA,"35343597_2","35343597","high flow oxygen",NA,NA,NA,NA,NA,"injectable sumatriptan",6.4,3.75,11.1,"odd ratio (OR)",NA,NA
NA,"35343597_3","35343597","low flow oxygen",NA,NA,NA,NA,NA,"low flow oxygen",2.55,1.13,5.8,"odd ratio (OR)",NA,NA
NA,"35343597_4","35343597","nasal spray zolmitriptan",NA,NA,NA,NA,NA,"nasal spray zolmitriptan",3.75,1.72,8.4,"odd ratio (OR)",NA,NA
NA,"35343597_5","35343597","octreotide",NA,NA,NA,NA,NA,"octreotide",4.5,1.64,12.5,"odd ratio (OR)",NA,NA
NA,"35343597_6","35343597","non invasive vagal nerve stimulation",NA,NA,NA,NA,NA,"non invasive vagal nerve stimulation",5.2,2.29,11.9,"odd ratio (OR)",NA,NA
NA,"35343597_7","35343597","low flow oxygen",NA,NA,NA,NA,NA,"headache relief",2.67,1.21,5.9,"odd ratio (OR)",NA,NA
NA,"35343597_8","35343597","octreotide",NA,NA,NA,NA,NA,"",3.2,1.17,8.8,"odd ratio (OR)",NA,NA
NA,"35343597_9","35343597","nasal spray zolmitriptan",NA,NA,NA,NA,NA,"nVNS",3.69,1.63,8.4,"odd ratio (OR)",NA,NA
NA,"35343597_10","35343597","Octreotide",NA,NA,NA,NA,NA,"Octreotide",4.1,1.71,10.5,"odd ratio (OR)",NA,NA
NA,"35343597_11","35343597","sumatriptan",NA,NA,NA,NA,NA,"adverse events",2.4,1.39,4.2,"odd ratio (OR)",NA,NA
NA,"35343597_12","35343597","nVNS",NA,NA,NA,NA,NA,"episodic cluster headache",4.9,1.89,14.1,"odd ratio (OR)",NA,NA
NA,"35851952_1","35851952","obesity",NA,NA,NA,NA,NA,"migraine",1.21,1.09,1.34,"odd ratio (OR)",NA,NA
NA,"35851952_2","35851952","obesity",NA,NA,NA,NA,NA,"migraine",1.28,1.15,1.43,"odd ratio (OR)",NA,NA
NA,"35953857_2","35953857","History of headache",NA,NA,NA,NA,NA,"History of headache",3.24,2.26,4.65,"odd ratio (OR)",NA,NA
NA,"35953857_3","35953857","female gender",NA,NA,NA,NA,NA,"female gender",2.06,1.44,2.96,"odd ratio (OR)",NA,NA
NA,"35953857_4","35953857","midbrain lesions",NA,NA,NA,NA,NA,"midbrain lesions",3.56,1.86,6.83,"odd ratio (OR)",NA,NA
NA,"35953857_5","35953857","posterior circulation stroke",NA,NA,NA,NA,NA,"posterior circulation stroke",2.13,1.14,4.32,"odd ratio (OR)",NA,NA
NA,"35962748_1","35962748","akathisia",NA,NA,NA,NA,NA,"akathisia",0.83,0.43,1.61,"relative risk (RR)",NA,NA
NA,"36143259_1","36143259","Cladribine",NA,NA,NA,NA,NA,"headache",1.2,1.006,1.42,"relative risk (RR)",NA,NA
NA,"36259538_2","36259538","all cause headache",NA,NA,NA,NA,NA,"dry eye",1.586,1.409,1.785,"odd ratio (OR)",NA,NA
NA,"36259538_3","36259538","Migraine headache, tension headache and cluster headache",NA,NA,NA,NA,NA,"dry eye",1.503,1.369,1.65,"odd ratio (OR)",NA,NA
NA,"36259538_4","36259538","all cause headache",NA,NA,NA,NA,NA,"",1.61,1.585,1.635,"odd ratio (OR)",NA,NA
NA,"36259538_5","36259538","all cause headache",NA,NA,NA,NA,NA,"",2.12,1.104,4.073,"odd ratio (OR)",NA,NA
NA,"36259538_6","36259538","Migraine headache, tension headache and cluster headache",NA,NA,NA,NA,NA,"dry eye disease",1.707,1.291,2.258,"odd ratio (OR)",NA,NA
NA,"36259538_7","36259538","all cause headache",NA,NA,NA,NA,NA,"dry eye",1.6,1.59,1.61,"odd ratio (OR)",NA,NA
NA,"36259538_8","36259538","all cause headache",NA,NA,NA,NA,NA,"",1.44,1.096,1.893,"odd ratio (OR)",NA,NA
NA,"36259538_9","36259538","all cause headache",NA,NA,NA,NA,NA,"dry eye",1.586,1.409,1.785,"odd ratio (OR)",NA,NA
NA,"36422223_2","36422223","migraine",NA,NA,NA,NA,NA,"migraine",1.11,0.72,1.72,"odd ratio (OR)",NA,NA
NA,"36422223_3","36422223","migraineurs",NA,NA,NA,NA,NA,"migraineurs",1.54,1.28,1.84,"odd ratio (OR)",NA,NA
NA,"36422223_4","36422223","12 month migraine prevalence",NA,NA,NA,NA,NA,"12 month migraine",0.64,0.43,0.97,"odd ratio (OR)",NA,NA
